count,as_of_year,state_name
5169,2017,
53110,2017,Alabama
8274,2017,Alaska
110732,2017,Arizona
31386,2017,Arkansas
325177,2017,California
98701,2017,Colorado
36287,2017,Connecticut
12097,2017,Delaware
7651,2017,District of Columbia
269275,2017,Florida
133621,2017,Georgia
10806,2017,Hawaii
28667,2017,Idaho
139077,2017,Illinois
88673,2017,Indiana
39009,2017,Iowa
32441,2017,Kansas
48348,2017,Kentucky
40778,2017,Louisiana
14500,2017,Maine
74138,2017,Maryland
74014,2017,Massachusetts
119369,2017,Michigan
79530,2017,Minnesota
24831,2017,Mississippi
76083,2017,Missouri
12398,2017,Montana
22299,2017,Nebraska
46904,2017,Nevada
17412,2017,New Hampshire
86401,2017,New Jersey
18583,2017,New Mexico
124813,2017,New York
134968,2017,North Carolina
8383,2017,North Dakota
135557,2017,Ohio
39085,2017,Oklahoma
54459,2017,Oregon
123604,2017,Pennsylvania
8559,2017,Puerto Rico
11604,2017,Rhode Island
71489,2017,South Carolina
10376,2017,South Dakota
87558,2017,Tennessee
320842,2017,Texas
11,2017,U.S. Virgin Islands
52395,2017,Utah
5253,2017,Vermont
110817,2017,Virginia
111891,2017,Washington
14606,2017,West Virginia
67681,2017,Wisconsin
6824,2017,Wyoming
