"","Name","Year","mean_del","max_del","min_del","del_diff"
"1","Alabama","2017",3.25833333333333,3.8,2.8,1
"2","Alaska","2017",1.61666666666667,1.9,1.3,0.6
"3","Arizona","2017",1.775,2.1,1.5,0.6
"4","Arkansas","2017",2.80833333333333,3.4,2.4,1
"5","California","2017",1.3,1.5,1.1,0.4
"6","Colorado","2017",1.21666666666667,1.4,1,0.4
"7","Connecticut","2017",2.31666666666667,2.7,2,0.7
"8","Delaware","2017",2.36666666666667,2.8,2,0.8
"9","District of Columbia","2017",1.6,1.9,1.3,0.6
"10","Florida","2017",1.825,2.3,1,1.3
"11","Georgia","2017",2.575,3.1,2.1,1
"12","Hawaii","2017",1.15,1.3,0.9,0.4
"13","Idaho","2017",1.78333333333333,2,1.6,0.4
"14","Illinois","2017",1.96666666666667,2.2,1.7,0.5
"15","Indiana","2017",2.425,2.8,2.1,0.7
"16","Iowa","2017",1.70833333333333,2,1.4,0.6
"17","Kansas","2017",1.90833333333333,2.2,1.6,0.6
"18","Kentucky","2017",2.45,2.9,2.1,0.8
"19","Louisiana","2017",3.54166666666667,4.2,3,1.2
"20","Maine","2017",2.175,2.6,1.9,0.7
"21","Maryland","2017",2.45833333333333,2.8,2.2,0.6
"22","Massachusetts","2017",1.76666666666667,2.1,1.5,0.6
"23","Michigan","2017",2.1,2.5,1.7,0.8
"24","Minnesota","2017",1.39166666666667,1.6,1.2,0.4
"25","Mississippi","2017",4.65,5.3,4,1.3
"26","Missouri","2017",2.28333333333333,2.6,2,0.6
"27","Montana","2017",1.54166666666667,1.7,1.3,0.4
"28","Nebraska","2017",1.375,1.6,1.2,0.4
"29","Nevada","2017",1.45,1.7,1.2,0.5
"30","New Hampshire","2017",1.74166666666667,2.1,1.4,0.7
"31","New Jersey","2017",2.2,2.5,1.9,0.6
"32","New Mexico","2017",2.28333333333333,2.6,2,0.6
"33","New York","2017",2.16666666666667,2.5,1.9,0.6
"34","North Carolina","2017",2.65833333333333,3,2.3,0.7
"35","North Dakota","2017",1.175,1.6,0.9,0.7
"36","Ohio","2017",2.26666666666667,2.6,2,0.6
"37","Oklahoma","2017",2.925,3.3,2.7,0.6
"38","Oregon","2017",1.01666666666667,1.3,0.8,0.5
"39","Pennsylvania","2017",2.79166666666667,3.2,2.4,0.8
"40","Rhode Island","2017",2.2,2.6,1.8,0.8
"41","South Carolina","2017",3.01666666666667,3.4,2.6,0.8
"42","South Dakota","2017",1.53333333333333,1.9,1.3,0.6
"43","Tennessee","2017",2.65833333333333,3.2,2.3,0.9
"44","Texas","2017",2.71666666666667,3.4,2,1.4
"45","United States","2017",2.06666666666667,2.4,1.8,0.6
"46","Utah","2017",1.59166666666667,1.8,1.4,0.4
"47","Vermont","2017",1.49166666666667,1.8,1.2,0.6
"48","Virginia","2017",1.95833333333333,2.2,1.7,0.5
"49","Washington","2017",1.00833333333333,1.1,0.9,0.2
"50","West Virginia","2017",3.59166666666667,4.1,3.2,0.899999999999999
"51","Wisconsin","2017",1.40833333333333,1.6,1.3,0.3
"52","Wyoming","2017",2.25833333333333,2.7,1.8,0.9
